Nome,Nome Popular,Cidade,Estado (UF),Fundação,Série A,Série B,Série C,Série D
Grêmio Foot-Ball Porto Alegrense,Grêmio,Porto Alegre,RS,1903-09-15,62,2,0,0
Santos Futebol Clube,Santos,Santos,SP,1912-04-14,61,0,0,0
Cruzeiro Esporte Clube,Cruzeiro,Belo Horizonte,MG,1921-01-02,59,2,0,0
Sociedade Esportiva Palmeiras,Palmeiras,São Paulo ,SP,1914-08-26,58,4,0,0
Clube Atlético Mineiro,Atlético Mineiro,Belo Horizonte,MG,1908-03-25,58,1,0,0
Botafogo de Futebol e Regatas,Botafogo,Rio de Janeiro,RJ,1894-07-01,56,3,0,0
Clube de Regatas do Flamengo,Flamengo,Rio de Janeiro,RJ,1895-11-15,56,0,0,0
Fluminense Football Club,Fluminense,Rio de Janeiro,RJ,1902-07-21,55,1,1,0
Sport Club Internacional,Internacional,Porto Alegre,RS,1909-04-04,55,1,0,0
São Paulo Futebol Clube,São Paulo,São Paulo ,SP,1930-01-25,54,0,0,0
Club de Regatas Vasco da Gama,Vasco da Gama,Rio de Janeiro,RJ,1898-08-21,53,4,0,0
Sport Club Corinthians Paulista,Corinthians,São Paulo ,SP,1910-09-01,53,2,0,0
Esporte Clube Bahia,Bahia,Salvador,BA,1931-01-01,49,10,2,0
Club Athletico Paranaense,Athletico Paranaense,Curitiba,PR,1924-03-26,45,6,0,0
Sport Club do Recife,Sport,Recife,PE,1905-05-13,42,12,0,0
Goiás Esporte Clube,Goiás,Goiânia,GO,1943-04-06,41,10,0,0
Coritiba Foot Ball Club,Coritiba,Curitiba,PR,1909-10-12,40,13,0,0
Esporte Clube Vitória,Vitória,Salvador,BA,1899-05-13,39,11,2,2
Associação Portuguesa de Desportos,Portuguesa,São Paulo ,SP,1920-08-14,35,11,2,2
Clube Náutico Capibaribe,Náutico,Recife,PE,1901-04-07,34,22,3,0
Guarani Futebol Clube,Guarani,Campinas,SP,1911-04-02,29,15,6,0
Paysandu Sport Club,Paysandu,Belém,PA,1914-02-02,27,18,11,0
Ceará Sporting Club,Ceará,Fortaleza,CE,1914-06-02,25,30,0,0
Santa Cruz Futebol Clube,Santa Cruz,Recife,PE,1914-02-03,24,20,7,3
Associação Atlética Ponte Preta,Ponte Preta,Campinas,SP,1911-08-11,24,20,1,0
Fortaleza Esporte Clube,Fortaleza,Fortaleza,CE,1918-10-18,23,18,14,0
Centro Sportivo Alagoano,CSA,Maceió,AL,1913-09-07,19,11,13,5
America Football Club,America-RJ,Rio de Janeiro,RJ,1904-09-18,19,5,11,1
América Futebol Clube,América Mineiro,Belo Horizonte,MG,1904-04-30,17,26,5,0
Figueirense Futebol Clube,Figueirense,Florianópolis,SC,1921-06-12,17,13,9,0
Esporte Clube Juventude,Juventude,Caxias do Sul,RS,1913-06-29,17,13,5,3
Clube do Remo,Remo,Belém,PA,1905-02-05,16,22,7,4
Paraná Clube,Paraná,Curitiba,PR,1989-12-19,16,15,2,0
Nacional Futebol Clube,Nacional-AM,Manaus,AM,1913-01-13,16,6,10,7
América Futebol Clube,América-RN,Natal,RN,1915-07-14,15,24,6,5
Associação Desportiva Ferroviária Vale do Rio Doce,Desportiva Ferroviária,Cariacica,ES ,1963-06-17,15,15,2,2
ABC Futebol Clube,ABC,Natal,RN,1915-06-26,14,21,11,2
Criciúma Esporte Clube,Criciúma,Criciúma,SC,1947-05-13,13,24,5,0
Joinville Esporte Clube,Joinville,Joinville,SC,1976-01-20,12,20,8,4
Sampaio Corrêa Futebol Clube,Sampaio Corrêa,São Luíz,MA,1923-03-25,12,18,12,3
Atlético Clube Goianiense,Atlético Goianiense,Goiânia,GO,1937-04-02,12,17,12,0
Clube Esportivo Sergipe,Sergipe,Aracaju,SE,1958-03-01,12,9,10,7
Rio Branco Atlético Clube,Rio Branco-ES,Vitória,ES,1913-06-21,12,4,5,4
Clube de Regatas Brasil,CRB,Maceió,AL,1912-09-20,11,31,6,0
Red Bull Bragantino,RB Bragantino,Bragança Paulista,SP,1928-01-08,11,15,4,0
Moto Club de São Luís,Moto Club,São Luís,MA,1937-09-13,11,13,9,7
Bangu Atlético Clube,Bangu,Rio de Janeiro,RJ,1904-04-17,11,8,5,3
Campinense Clube,Campinense,Campina Grande,PB,1915-04-12,11,7,9,9
Avaí Futebol CLube,Avaí,Florianópolis,SC,1923-09-01,10,23,4,0
Operário Futebol Clube,Operário-MS,Campo Grande,MS,1938-08-21,10,6,8,1
Vila Nova Futebol Clube,Vila Nova,Goiânia,GO,1943-07-29,9,23,9,0
Treze Futebol Clube,Treze,Campina Grande,PB,1925-09-07,9,9,15,6
Associação Chapecoense de Futebol,Chapecoense,Chapecó,SC,1973-05-10,9,4,9,1
Americano Futebol Clube,Americano,Campos dos Goytacazes,RJ,1914-06-01,8,20,5,1
Associação Desportiva Confiança,Confiança,Aracaju,SE,1936-05-01,8,10,20,2
River Atlético Clube,River,Teresina,PI,1946-03-01,8,10,9,5
Mixto Esporte Clube,Mixto,Cuiabá,MT,1934-05-20,8,6,5,3
Londrina Esporte Clube,Londrina,Londrina,PR,1956-04-05,7,25,3,3
Associação Desportiva São Caetano,São Caetano,São Caetano do SUl,SP,1989-12-04,7,9,2,3
Atlético Rio Negro Clube,Rio Negro-AM,Manaus,AM,1913-11-13,7,8,8,0
Botafogo Futebol Clube,Botafogo-PB,João Pessoa,PB,1931-09-28,7,5,18,1
Esporte Clube Flamengo,Flamengo-PI,Teresina,PI,1937-12-08,7,4,5,2
Associação Atlética Internacional de Limeira,Inter de Limeira,Limeira,SP,1913-10-05,7,4,5,1
Brasília Futebol Clube,Brasília,Brasília,DF,1975-06-02,7,3,3,3
Botafogo Futebol Clube,Botafogo-SP,Ribeirão Preto,SP,1918-10-12,6,16,7,3
Sociedade Esportiva do Gama,Gama,Gama,DF,1975-11-15,6,10,5,4
Ferroviário Atlético Clube,Ferroviário-CE,Fortaleza,CE,1933-05-09,6,7,15,2
Grêmio de Esportes Maringá,Grêmio Maringá,Maringá,PR,1961-07-07,6,7,4,0
Uberaba Sport Club,Uberaba,Uberaba,MG,1917-07-15,6,5,3,2
Goytacaz Futebol Clube,Goytacaz,Campos dos Goytacazes,RJ,1912-08-20,6,5,1,0
Esporte Clube Comercial,Comercial-MS,Campo Grande,MS,1943-03-15,5,4,10,7
Associação Olímpica de Itabaiana,Itabaiana,Itabaiana,SE,1938-07-10,5,4,10,7
Sociedade Esportiva Tiradentes,Tiradentes-PI,Teresina,PI,1959-06-30,5,4,1,0
Colorado Esporte Clube,Colorado,Curitiba,PR,1971-06-29,5,1,1,0
Esporte Clube Metropol,Metropol,Criciúma,SC,1945-11-15,5,0,0,0
Tuna Luso Brasileira,Tuna Luso,Belém,PA,1903-01-01,4,14,7,0
Associação Atlética Anapolina,Anapolina,Anápolis,GO,1948-01-01,4,13,3,4
Sociedade Esportiva e Recreativa Caxias do Sul,Caxias,Caxias do Sul,RS,1935-04-10,4,11,16,5
Grêmio Esportivo Brasil,Brasil de Pelotas,Pelotas,RS,1911-09-07,4,9,14,2
União São João Esporte Clube,União São João,Araras,SP,1981-01-14,4,9,3,0
Uberlândia Esporte Clube,Uberlândia,Uberlândia,MG,1922-11-01,4,6,8,3
Fluminense de Feira Futebol Clube,Fluminense de Feira,Feira de Santana,BA,1941-01-01,4,6,6,6
Clube Esportivo Operário Várzea-Grandense,Operário-MT,Várzea Grande,MT,1949-05-01,4,5,2,3
Goiânia Esporte Clube,Goiânia,Goiânia,GO,1938-07-05,4,4,6,1
Piauí Esporte Clube,Piauí ,Teresina,PI,1948-08-15,4,2,2,0
Esporte Clube XV de Novembro,XV de Piracicaba,Piracicaba ,SP,1913-11-15,3,12,3,1
Volta Redonda Futebol Clube,Volta Redonda,Volta Redonda,RJ,1976-02-09,3,8,14,4
Maranhão Atlético Clube,Maranhão,São Luís,MA,1932-09-24,3,8,4,4
Associação Desportiva Leônico,Leônico,Simões Filho,BA,1940-04-03,3,4,0,0
Villa Nova Atlético Clube,Villa Nova,Nova Lima,MG,1908-06-28,3,3,11,7
Nacional Fast Clube,Fast Clube,Manaus,AM,1930-07-08,3,2,0,2
Alecrim Futebol Clube,Alecrim,Natal,RN,1915-08-15,3,2,3,2
Sport Club São Paulo,São Paulo-RS,Rio Grande,RS,1908-10-04,3,2,0,2
Clube Esportivo Dom Bosco,Dom Bosco,Cuiabá,MT,1925-01-04,3,1,1,1
Centro Esportivo Universitário de Brasília,CEUB,Brasília,DF,1968-01-01,3,0,0,0
Clube Atlético Ferroviário,Ferroviário-PR,Curitiba,PR,1930-01-12,3,0,0,0
Fonseca Atlético Clube,Fonseca-RJ,Niterói,RJ,1917-10-12,3,0,0,0
Rabello Futebol Clube,Rabello-DF,Brasília,DF,1957-08-17,3,0,0,0
Central Sport Club,Central,Caruaru,PE,1919-06-15,2,18,5,11
Esporte Clube Santo André,Santo André,Santo André,SP,1967-09-18,2,9,10,2
América Futebol Clube,América de Rio Preto,São José do Rio Preto,SP,1946-01-28,2,6,7,0
Campo Grande Atlético Clube,Campo Grande,Rio de Janeiro,RJ,1940-06-13,2,5,5,0
Grêmio Barueri Futebol Ltda.,Grêmio Barueri,Barueri,SP,1989-06-26,2,4,0,1
Esporte Clube Pinheiros,Pinheiros,Curitiba,PR,1899-09-07,2,4,0,0
São José Esporte Clube,São José,São José dos Campos,SP,1933-08-13,2,3,2,0
Itabuna Esporte Clube,Itabuna,Itabuna,BA,1967-05-23,2,3,1,0
Comercial Futebol Clube,Comercial,Ribeirão Preto,SP,1911-10-10,2,2,4,0
Galícia Esporte Clube,Galícia,Salvador,BA,1933-01-01,2,1,3,1
Clube Esportivo Capelense,Capelense,Capela,AL,1946-04-04,2,1,2,0
Olaria Atlético Clube,Olaria,Rio de Janeiro,RJ,1915-07-01,2,0,5,0
Esporte Clube XV de Novembro,XV de Jaú,Jaú,SP,1924-11-15,2,0,1,0
Sport Clube Santa Cruz,Santa Cruz-SE,Estância,SE,1930-05-03,2,0,0,0
Santo Antônio Futebol Clube,Santo Antônio-ES,Vitória,ES,1919-11-19,2,0,0,0
Clube Atlético Juventus,Juventus,São Paulo ,SP,1924-04-20,1,12,7,0
Catuense Futebol S/A,Catuense,Catu,BA,1974-01-01,1,8,9,0
Esporte Clube Novo Hamburgo,Novo Hamburgo,Novo Hamburgo,RS,1911-05-01,1,8,3,3
Agremiação Sportiva Arapiraquense,ASA,Arapiraca,AL,1952-09-25,1,7,13,3
Brasiliense Futebol Clube,Brasiliense,Taguatinga,DF,2000-08-01,1,7,5,5
Operário Ferroviário Esporte Clube,Operário-PR,Ponta Grossa ,PR,1912-05-01,1,7,2,4
Itumbiara Esporte Clube,Itumbiara,Itumbiara,GO,1970-03-09,1,5,7,3
Taguatinga Esporte Clube,Taguatinga,Taguatinga,DF,1974-02-18,1,5,3,0
Ipatinga Futebol Clube,Ipatinga,Ipatinga,MG,1998-05-21,1,4,9,1
Esporte Clube Noroeste,Noroeste,Bauru,SP,1910-09-01,1,4,5,0
Esporte Clube São Berto,São Bento,Sorocaba,SP,1913-09-14,1,4,3,2
Anápolis Futebol Clube,Anápolis,Anápolis,GO,1946-05-01,1,3,8,2
Vitória Futebol Clube,Vitória-ES,Vitória,ES,1912-10-01,1,3,4,2
Associação Ferroviária de Esportes,Ferroviária,Araraquara,SP,1950-04-12,1,3,3,4
Associação Atlética Colatina,AA Colatina,Colatina,ES,1978-05-13,1,3,3,0
Clube de Regatas Guará,Guará,Guará,DF,1957-01-09,1,3,2,0
Sobradinho Esporte Clube,Sobradinho,Sobradinho,DF,1975-01-01,1,3,1,2
Cuiabá Esporte Clube,Cuiabá,Cuiabá,MT,2001-12-12,1,2,9,1
Esporte Clube Internacional,Inter de Santa Maria,Santa Maria,RS,1928-05-16,1,2,4,0
Auto Esporte Clube,Auto Esporte-PB,João Pessoa,PB,1936-09-07,1,2,3,0
J.Malucelli Futebol S/A,J.Malucelli,Curitiba,PR,1994-12-27,1,1,3,3
Associação Atlética Caldense,Caldense,Poços de Caldas,MG,1925-09-07,1,1,1,7
Corumbaense Futebol Clube,Corumbaense,Corumbá,MS,1914-01-01,1,1,1,2
Auto Esporte Clube,Auto Esporte-PI,Teresina,PI,1951-05-01,1,1,0,0
Ferroviário Esporte Clube,Ferroviário-MA,São Luís,MA,1941-09-10,1,1,0,0
Associação Cultural e Desportiva Potiguar,Potiguar de Mossoró,Mossoró,RN,1945-02-11,1,0,10,5
Associação Atlética Francana,Francana,Franca,SP,1912-10-12,1,0,5,0
América Futebol Clube,América-SE,Propriá,SE,1942-08-08,1,0,1,0
Clube Esportivo Rio Branco,Rio Branco-RJ,Campos dos Goytacazes,RJ,1912-11-05,1,0,1,0
Esporte Clube Internacional,Inter de Lages,Lages,SC,1949-06-13,1,0,0,4
Hercílio Luz Futebol Clube,Hercílio Luz,Tubarão,SC,1918-12-22,1,0,0,1
Esporte Clube Água Verde ,Água Verde-PR,Curitiba,PR,1914-12-17,1,0,0,0
América Football Club,América-CE,Fortaleza,CE,1920-11-11,1,0,0,0
Esporte Clube Comercial,Comercial-PR,Cornélio Procópio,PR,1943-03-14,1,0,0,0
Associação Esportiva Cruzeiro do Sul,Cruzeiro do Sul,Cruzeiro,DF,1961-04-21,1,0,0,0
Departamento de Força e Luz Futebol Clube,Defelê-DF,Brasília,DF,1959-12-25,1,0,0,0
Associação Esportiva Eletrovapo,Eletrovapo,Niterói,RJ,1957-12-08,1,0,0,0
Estrela do Mar Esporte Clube,Estrela do Mar-PB,João Pessoa,PB,1953-05-06,1,0,0,0
Associação Atlética Guanabara,Guanabara-DF,Brasília,DF,1959-08-15,1,0,0,0
Associação Desportiva Niterói,Manufatora-RJ,Niterói,RJ,1944-04-11,1,0,0,0
Olímpico Clube,Olímpico Clube,Manaus,AM,1938-10-17,1,0,0,0
Grêmio Esportivo Olímpico,Olímpico-SC,Blumenau,SC,1919-08-14,1,0,0,0
Paula Ramos Esporte Clube,Paula Ramos,Florianópolis,SC,1937-12-15,1,0,0,0
Sociedade Esportiva e Recreativa Perdigão,Perdigão-SC,Videira,SC,1964-01-01,1,0,0,0
Esporte Clube Siderúrgica,Siderúrgica,Sabará,MG,1930-05-31,1,0,0,0